feature,gain_normalised,gain_pct
lactate_missing,0.05765221387224582,5.77
spo2_worst,0.04963821720151801,4.96
gcs_verbal_worst,0.043599921835325274,4.36
gcs_motor_worst,0.039212941911200956,3.92
news2_gcs,0.03650197763946945,3.65
gcs_motor,0.030052176257616012,3.01
news2_total,0.029579250160870752,2.96
respiratory_rate_worst,0.028709538828051353,2.87
admit_offset_hours,0.026745774039795087,2.67
vasopressors,0.025946848231177374,2.59
adm_type_OBSERVATION ADMIT,0.024735431468424086,2.47
antibiotics,0.021852316153736034,2.19
anticoagulants,0.02168241426682059,2.17
adm_type_SURGICAL SAME DAY ADMISSION,0.021491063319308418,2.15
gcs_total,0.018211036986360042,1.82
news2_hr,0.01783041156335848,1.78
lactate,0.01748769028237854,1.75
gcs_verbal,0.016422138217570603,1.64
news2_rr,0.01591454740307335,1.59
n_vitals_missing,0.014134219944106905,1.41
bilirubin_missing,0.013648241280668128,1.36
bun,0.013484191463262477,1.35
respiratory_rate,0.012832748465798833,1.28
temperature,0.01246750471183667,1.25
glucose_missing,0.012306019571888316,1.23
gcs_eye_worst,0.011233742423922406,1.12
age,0.010768089309010534,1.08
diastolic_bp_worst,0.010761797001849094,1.08
heart_rate_worst,0.01064900662316601,1.06
adm_type_DIRECT EMER.,0.010476999483558064,1.05
gcs_eye,0.010249617269457549,1.02
gcs_verbal_trend,0.010043865327577929,1.0
gender,0.010027975200040139,1.0
systolic_bp,0.009928059374278595,0.99
bilirubin,0.009877145303592674,0.99
wbc,0.009812163881117912,0.98
creatinine,0.00963868466355131,0.96
heart_rate,0.009597699923918885,0.96
inr,0.009553615399562515,0.96
sodium,0.009304802246027689,0.93
temperature_worst,0.009226282183326356,0.92
n_labs_missing,0.009176332798051428,0.92
platelets,0.009013056860876034,0.9
adm_type_EW EMER.,0.00900264039033875,0.9
temperature_trend,0.008825145203395437,0.88
news2_sbp,0.008811024554070079,0.88
potassium,0.00879542329918022,0.88
hemoglobin,0.008786408020878022,0.88
gcs_motor_trend,0.008767441559532352,0.88
glucose,0.008656795340743428,0.87
adm_type_ELECTIVE,0.008555430887939298,0.86
sodium_missing,0.008427032325686609,0.84
inr_missing,0.008238439525689298,0.82
crp,0.008083613912929,0.81
adm_type_URGENT,0.007845806700685357,0.78
heart_rate_trend,0.007716292620993324,0.77
systolic_bp_trend,0.007485319218882156,0.75
diastolic_bp,0.007338280909182657,0.73
gcs_eye_trend,0.007287796949616443,0.73
systolic_bp_worst,0.006819603674114074,0.68
respiratory_rate_trend,0.006789540665665136,0.68
spo2_trend,0.006635508120248241,0.66
spo2,0.0066096817329772024,0.66
diastolic_bp_trend,0.006420544232156667,0.64
news2_temp,0.0063665506298106736,0.64
crp_missing,0.005861223894664748,0.59
adm_type_EU OBSERVATION,0.005834812300442731,0.58
platelets_missing,0.005468625713059547,0.55
news2_spo2,0.005158590745276013,0.52
adm_type_DIRECT OBSERVATION,0.003934656523095861,0.39
systolic_bp_missing,0.0,0.0
potassium_missing,0.0,0.0
news2_o2,0.0,0.0
bun_missing,0.0,0.0
creatinine_missing,0.0,0.0
adm_type_AMBULATORY OBSERVATION,0.0,0.0
hemoglobin_missing,0.0,0.0
wbc_missing,0.0,0.0
temperature_missing,0.0,0.0
respiratory_rate_missing,0.0,0.0
spo2_missing,0.0,0.0
diastolic_bp_missing,0.0,0.0
heart_rate_missing,0.0,0.0
